country,year,sex,cause,age_group,death,
Canada,2005,total,I010,0,0,
Canada,2005,total,I011,0,0,
Canada,2005,total,I012,0,0,
Canada,2005,total,I013,0,0,
Canada,2005,total,I014,0,0,
Canada,2005,total,I015,0,0,
Canada,2005,total,I016,0,0,
Canada,2005,total,I017,0,0,
Canada,2005,total,I018,0,0,
Canada,2005,total,I019,0,0,
Canada,2005,total,I020,0,0,
Canada,2005,total,I021,0,0,
Canada,2005,total,I022,0,1.03,
Canada,2005,total,I023,0,8.2,
Canada,2005,total,I024,0,10.25,
Canada,2005,total,I025,0,0,
Canada,2005,total,I026,0,25.64,
Canada,2005,total,I027,0,0,
Canada,2005,total,I028,0,0,
Canada,2005,total,I029,0,0,
Canada,2005,total,I030,0,42.04,
Canada,2005,total,I031,0,0,
Canada,2005,total,I032,0,0,
Canada,2005,total,I033,0,1.02,
Canada,2005,total,I034,0,9.220000000000000,
Canada,2005,total,I035,0,3.08,
Canada,2005,total,I036,0,3.08,
Canada,2005,total,I037,0,0,
Canada,2005,total,I038,0,0,
Canada,2005,total,I039,0,9.230000000000000,
Canada,2005,total,I040,0,4.1,
Canada,2005,total,I041,0,0,
Canada,2005,total,I042,0,6.1500000000000000,
Canada,2005,total,I043,0,0,
Canada,2005,total,I044,0,4.1,
Canada,2005,total,I045,0,19.480000000000000,
Canada,2005,total,I046,0,0,
Canada,2005,total,I047,0,0,
Canada,2005,total,I048,0,7.17,
Canada,2005,total,I049,0,0,
Canada,2005,total,I050,0,1178.12,
Canada,2005,total,I051,0,458.3,
Canada,2005,total,I052,0,5.120000000000000,
Canada,2005,total,I053,0,25.630000000000000,
Canada,2005,total,I054,0,0,
Canada,2005,total,I055,0,9.240000000000000,
Canada,2005,total,I056,0,1.03,
Canada,2005,total,I057,0,0,
Canada,2005,total,I058,0,46.03,
Canada,2006,total,I000,0,1771,
Canada,2006,total,I001,0,3.07,
Canada,2006,total,I002,0,0,
Canada,2006,total,I003,0,12.29,
Canada,2006,total,I004,0,0,
Canada,2006,total,I005,0,0,
Canada,2006,total,I006,0,9.17,
Canada,2006,total,I007,0,0,
Canada,2006,total,I008,0,0,
Canada,2006,total,I009,0,0,
Canada,2006,total,I010,0,0,
Canada,2006,total,I011,0,0,
Canada,2006,total,I012,0,0,
Canada,2006,total,I013,0,0,
Canada,2006,total,I014,0,0,
Canada,2006,total,I015,0,0,
Canada,2006,total,I016,0,0,
Canada,2006,total,I017,0,0,
Canada,2006,total,I018,0,0,
Canada,2006,total,I019,0,0,
Canada,2006,total,I020,0,0,
Canada,2006,total,I021,0,1.03,
Canada,2006,total,I022,0,4.09,
Canada,2006,total,I023,0,7.1500000000000000,
Canada,2006,total,I024,0,8.19,
Canada,2006,total,I025,0,0,
Canada,2006,total,I026,0,30.67,
Canada,2006,total,I027,0,0,
Canada,2006,total,I028,0,0,
Canada,2006,total,I029,0,0,
Canada,2006,total,I030,0,32.71,
Canada,2006,total,I031,0,0,
Canada,2006,total,I032,0,0,
Canada,2006,total,I033,0,1.03,
Canada,2006,total,I034,0,16.36,
Canada,2006,total,I035,0,4.09,
Canada,2006,total,I036,0,0,
Canada,2006,total,I037,0,1.02,
Canada,2006,total,I038,0,0,
Canada,2006,total,I039,0,12.3,
Canada,2006,total,I040,0,3.09,
Canada,2006,total,I041,0,1.03,
Canada,2006,total,I042,0,4.08,
Canada,2006,total,I043,0,0,
Canada,2006,total,I044,0,5.09,
Canada,2006,total,I045,0,15.360000000000000,
Canada,2006,total,I046,0,0,
Canada,2006,total,I047,0,0,
Canada,2006,total,I048,0,4.1,
Canada,2006,total,I049,0,0,
Canada,2006,total,I050,0,1135.09,
Canada,2006,total,I051,0,419.03,
Canada,2006,total,I052,0,7.17,
Canada,2006,total,I053,0,26.59,
Canada,2006,total,I054,0,0,
Canada,2006,total,I055,0,5.13,
Canada,2006,total,I056,0,2.06,
Canada,2006,total,I057,0,0,
Canada,2006,total,I058,0,42,
Canada,2007,total,I000,0,1881,
Canada,2007,total,I001,0,2.04,
Canada,2007,total,I002,0,0,
Canada,2007,total,I003,0,12.240000000000000,
Canada,2007,total,I004,0,0,
Canada,2007,total,I005,0,0,
Canada,2007,total,I006,0,13.26,
Canada,2007,total,I007,0,0,
Canada,2007,total,I008,0,0,
Canada,2007,total,I009,0,0,
Canada,2007,total,I010,0,0,
Canada,2007,total,I011,0,0,
Canada,2007,total,I012,0,1.02,
Canada,2007,total,I013,0,0,
Canada,2007,total,I014,0,0,
Canada,2007,total,I015,0,0,
Canada,2007,total,I016,0,0,
Canada,2007,total,I017,0,0,
Canada,2007,total,I018,0,0,
Canada,2007,total,I019,0,0,
Canada,2007,total,I020,0,0,
Canada,2007,total,I021,0,1.02,
Canada,2007,total,I022,0,1.02,
Canada,2007,total,I023,0,13.26,
Canada,2007,total,I024,0,10.2,
Canada,2007,total,I025,0,0,
Canada,2007,total,I026,0,17.35,
Canada,2007,total,I027,0,0,
Canada,2007,total,I028,0,0,
Canada,2007,total,I029,0,0,
Canada,2007,total,I030,0,40.8,
Canada,2007,total,I031,0,0,
Canada,2007,total,I032,0,0,
Canada,2007,total,I033,0,0,
Canada,2007,total,I034,0,15.3,
Canada,2007,total,I035,0,4.08,
Canada,2007,total,I036,0,2.04,
Canada,2007,total,I037,0,0,
Canada,2007,total,I038,0,0,
Canada,2007,total,I039,0,14.28,
Canada,2007,total,I040,0,5.1,
Canada,2007,total,I041,0,0,
Canada,2007,total,I042,0,6.120000000000000,
Canada,2007,total,I043,0,0,
Canada,2007,total,I044,0,2.04,
Canada,2007,total,I045,0,5.1,
Canada,2007,total,I046,0,1.02,
Canada,2007,total,I047,0,1.02,
Canada,2007,total,I048,0,7.14,
Canada,2007,total,I049,0,0,
Canada,2007,total,I050,0,1244.48,
Canada,2007,total,I051,0,416.19,
Canada,2007,total,I052,0,6.120000000000000,
Canada,2007,total,I053,0,29.58,
Canada,2007,total,I054,0,0,
Canada,2007,total,I055,0,8.16,
Canada,2007,total,I056,0,1.02,
Canada,2007,total,I057,0,0,
Canada,2007,total,I058,0,37.05,
Canada,2008,total,I000,0,1911,
Canada,2008,total,I001,0,1.03,
Canada,2008,total,I002,0,1.03,
Canada,2008,total,I003,0,18.49,
Canada,2008,total,I004,0,0,
Canada,2008,total,I005,0,0,
Canada,2008,total,I006,0,12.31,
Canada,2008,total,I007,0,0,
Canada,2008,total,I008,0,0,
Canada,2008,total,I009,0,0,
Canada,2008,total,I010,0,0,
Canada,2008,total,I011,0,0,
Canada,2008,total,I012,0,0,
Canada,2008,total,I013,0,0,
Canada,2008,total,I014,0,0,
Canada,2008,total,I015,0,0,
Canada,2008,total,I016,0,0,
Canada,2008,total,I017,0,0,
Canada,2008,total,I018,0,0,
